ประเภทผู้มีหน้าที่หักภาษี,Keyword ผู้หักภาษี,หมายเหตุ,ผู้ถูกหักภาษี,Keyword ผู้ถูกหักภาษี,Keyword ผู้ที่ได้รับยกเว้นการหักภาษี,เงินได้พึงประเมิน (Keyword หลัก),อัตราการหักภาษี,แบบยื่นรายการ,หมายเหตุ
นิติบุคคล,บริษัท ,,นิติบุคคลในไทย,บริษัท,,ค่านายหน้า,3%,ภงด.53,
,ห้างหุ้นส่วนนิติบุคคล,,,ห้างหุ้นส่วนนิติบุคคล,,ค่าแห่งกู๊ดวิลล์,,,
,นิติบุคคลอื่น,,,,,ค่าแห่งลิขสิทธิ์หรือสิทธิอย่างอื่น,,,
,บริษัท ,,มูลนิธิ / สมาคม ,มูลนิธิ,(ไม่รวมถึงมูลนิธิหรือสมาคมที่รัฐมนตรีประกาศกำหนดตามมาตรา 47(7)(ข) แห่งประมวลรัษฎากร),ค่านายหน้า,10%,,
,ห้างหุ้นส่วนนิติบุคคล,,,สมาคม,,ค่าแห่งกู๊ดวิลล์,,,
,นิติบุคคลอื่น,,,,,ค่าแห่งลิขสิทธิ์หรือสิทธิอย่างอื่น,,,
นิติบุคคล,ธนาคารพาณิชย์,,นิติบุคคลในไทย,บริษัท,,,,,
,บริษัท ,ตามกฎหมายว่าด้วยการประกอบธุรกิจเงินทุน,,ห้างหุ้นส่วนนิติบุคคล,,,,,
,,ธุรกิจหลักทรัพย์ ,,,,,,,
,,ธุรกิจเครดิตฟองซิเอร์,,,,,,,
,บริษัทบริหารสินทรัพย์,,,,,,,,
,,,,,,,,,
